Book Name,Author,Genre,Average Ratings,Total Ratings,Publisher,Stall Number
Eeram,Sujatha,Thriller,4.05,150,Blue Horizon Publishers,40
En Iniya Iyanthira,Sujatha,Science Fiction,4.18,1773,Maple Leaf Books,4
Enge Pogirome,Akilan,Social fiction,4.2,230,Emerald Isle Publishers,19
Ezham Ulagam,Jeyamohan,Literary Fiction,4.17,167,Heritage Publishing,42
Gangai Konda Cholan (Vol.3),Balakumaran,Historical fiction,4.36,151,Pearl Press,17
Gopallapurathu Makkal,Ki. Rajanarayanan,Historical fiction,4.5,28,Orchid Publications,11
Gopalla Gramam,Ki. Rajanarayanan,Historical fiction,4.5,140,Sunrise Books,26
Ilanthiraigal,Sujatha,Thriller,4.05,85,Heritage Publishing,27
Ilavarasi,Sandilyan,Historical adventure,4.25,350,Pearl Press,4
Irama Kathaiyum Iratta Kathaiyum,Balakumaran,Epic retelling,4.2,120,Sunrise Books,8
J.J. Sila Kurippugal,SundaraÂ Ramaswamy,ModernistÂ fiction,4.1,637,Quartz Books,50
Kaaval Kottam,Su. Venkatesan,Historical Fiction,4.28,603,Sunflower Press,21
Kadal Pura,Sandilyan,Historical adventure,4,2960,Coimbatore Book House,35
Kadhal Arangam,Balakumaran,Romance,3.95,20,Sunflower Press,15
Kallikattu Ithigaasam,Vairamuthu,Environmental novel,4.6,147,Sunflower Press,47
Kanchi Ragasiyam,IndraÂ SoundarÂ Rajan,Mystic thriller,4.05,110,Coimbatore Press,20
Karnanin Kadhai,Balakumaran,MythologicalÂ fiction,4.33,180,Onyx Publishing,46
Karukku,Bama,Autobiographical,4.01,653,Topaz Publishing,28
Karuvachi Kaviyam,Vairamuthu,Social Novel,3.97,2097,Riverdale Press,5
Kolaiyuthir Kaalam,Sujatha,Thriller,4.07,1829,CBE Publishers,29
Kotravai,Jeyamohan,MythicÂ fiction,4.05,90,Opal Book House,15
Koveru Kazhudhaigal,Imayam,SocialÂ realism,4.2,200,Maple Leaf Books,28
Kuruthi Punal,Indira Parthasarathy,Political Fiction,3.95,493,Coimbatore Press,14
Kuzhanthaigal Pengal Aangal,Sundara Ramaswamy,LiteraryÂ fiction,3.83,42,"Urban Leaf Publications, Coimbatore",11
Malargal Nanaikkindra Neram,Lakshmi Thiripurasundari,Romance,4,160,Saffron Reads,23
Manthira Punnagai,Sandilyan,HistoricalÂ adventure,4.3,400,Lotus Pond Press,41
Mayavaram Mysteries,Indra Soundar Rajan,Mystery,4,90,Lotus Book Publishers,48
MeendumÂ Jeano,Sujatha,ScienceÂ fiction,4.15,500,Velvet Ink Press,47
Mogamul,Thi. Janakiraman,Literary Fiction,4.4,132,Crimson Press,22
Moondram Ulaga Por,Vairamuthu,Historical Fiction,4.12,1029,Diamond Press,33
Naan Nandri Solven,Sivasankari,SocialÂ fiction,4.1,190,CBE Publishers,19
NadamadumÂ Nilavu,Ramanichandran,Romance,3.9,210,Diamond Press,34
Nizhalgal,Sivasankari,FamilyÂ drama,4,100,Crimson Press,5
Nylon Kayiru,Sujatha,Thriller,3.97,993,Quartz Books,30
One Part Woman,Perumal Murugan,Social/caste fiction,3.8,1335,Saffron Reads,9
Oru Manidhan Oru Veedu Oru Ulagam,Jayakanthan,Social Fiction,4.3,2409,"Global Reads, Coimbatore",48
Oru Puliyamarathin Kathai,Sundara Ramaswamy,Literary Fiction,4.4,638,Saffron Reads,19
Oru Kalyanathin Kathai,Lakshmi Thiripurasundari,FamilyÂ fiction,3.9,180,Coral Wave Press,12
Oru Manithanin Kathai,Sivasankari,SocialÂ fiction,4.16,73,NorthStar Books,35
Oru Nadigai Natakam Parkkiral,Jayakanthan,LiteraryÂ fiction,4.18,408,Goldleaf Publishers,48
Oru Puliyamarathin Kathai,Thoppil Mohamed Meeran,SocialÂ fiction,4.3,60,Citrine Press,40
Paalangal,Sivasankari,FamilyÂ saga,4.2,395,Silverline Publishers,41
Pani Manithan,Jeyamohan,MythicÂ fiction,4.12,100,Emerald Isle Publishers,9
Parthiban Kanavu,Kalki Krishnamurthy,Historical fiction,4.4,2737,Lotus Book Publishers,41
Pethavan,Imayam,SocialÂ realism,4.15,120,Orchid Publications,10
Pirivom Sandhippom,Sujatha,Romance,4,200,Citrine Press,8
Ponniyin Selvan,Kalki Krishnamurthy,Historical fiction,4.7,210,Cobalt Blue Books,30
Poonachi,Perumal Murugan,Allegorical fable,4.4,1025,Coral Wave Press,25
Priya,Sujatha,Romance,3.55,111,"Omni Books, Coimbatore",8
RagasiyamÂ 174,Sujatha,Mystery,4.1,95,Silver Oak Publishing,37
Rajarajan Sabatham,Sandilyan,HistoricalÂ adventure,4.1,250,Blue Horizon Publishers,32
Rudra Veena,IndraÂ SoundarÂ Rajan,Thriller,4.05,120,Topaz Publishing,5
Saanthik Kaalam,Jayakanthan,LiteraryÂ fiction,4.2,100,Orchid Publications,19
Saivu Narkali,ThoppilÂ MohamedÂ Meeran,LiteraryÂ fiction,4.5,100,Cobalt Blue Books,46
Sangati,Bama,DalitÂ literature,4.1,18,Indigo Bookworks,32
Sila Nerangalil Sila Manithargal,Jayakanthan,Social realism,4.5,3355,Lotus Pond Press,29
Sivagamiyin Sabatham,Kalki Krishnamurthy,Historical fiction,4.6,964,Goldleaf Publishers,20
Srirangathu Devathaigal,Sujatha,Short Story Collection,3.97,1358,Opal Book House,2
Sugamana Sangeetham,Ramanichandran,Romance,4,280,Coimbatore Press,1
Thanneer,Ashokamitran,Social realism,4.4,50,Quartz Books,21
Thanneer Desam,Vairamuthu,Literary Fiction,4.22,1770,Emerald Isle Publishers,21
The Forest (Kaadu),Jeyamohan,Literary Fiction,4.22,680,Indigo Bookworks,37
Thol,D. Selvaraj,Social Realism,3.98,54,BookTown Coimbatore,35
Trial by Silence,Perumal Murugan,Social Fiction,3.94,739,Velvet Ink Press,15
Udaiyar (Vol.?1),Balakumaran,HistoricalÂ fiction,4.18,2595,Silver Oak Publishing,48
Unnai Pol Oruvan,Jayakanthan,Social Fiction,4.12,433,Coimbatore Book House,34
Uyirin Ragasiyam,Sujatha,Thriller,4,100,Cherry Blossom Books,24
Vaadivaasal,C. S. Chellappa,Action / Social,4.28,1447,Eastwood Publications,7
Valai Osai,Ramanichandran,Romance,4,300,Lotus Book Publishers,46
Vasanth Vikatan Stories,Sujatha,ShortÂ stories,4.2,300,Jade Books,17
Vatapi Ganapathi,IndraÂ SoundarÂ Rajan,MythicÂ thriller,4,150,Maple Leaf Books,30
Veerayuga Nayagan Velpari (Vol. 1),Su. Venkatesan,Historical Fiction,4.62,1312,Sunflower Press,26
Vekkai,Poomani,Literary Fiction,4.18,1440,"Urban Leaf Publications, Coimbatore",39
Vengayin Maindhan,Akilan,HistoricalÂ fiction,4.4,300,Emerald Isle Publishers,1
Vidivelli,Sujatha,FamilyÂ drama,3.98,48,Pearl Press,34
Vishnupuram,Jeyamohan,Philosophical modernist,4.2,116,Velvet Ink Press,34
Yaarukkaga Azhudhan,Jayakanthan,LiteraryÂ fiction,4.15,80,NorthStar Books,24
Yavana Rani,Sandilyan,Historical adventure,4.5,1735,BookTown Coimbatore,27
Udaiyar (Part 2),Balakumaran,Historical fiction,4.2,2200,Sunrise Books,25
Udaiyar (Part 3),Balakumaran,Historical fiction,4.25,2100,Greenfield Publishing,18
Udaiyar (Part 4),Balakumaran,Historical fiction,4.28,1900,Star Light Publishing,28
Udaiyar (Part 5),Balakumaran,Historical fiction,4.3,1700,Diamond Press,34
Udaiyar (Part 6),Balakumaran,Historical fiction,4.26,1600,Star Light Publishing,37
Gangai Konda Cholan (Vol.Â 1),Balakumaran,Historical fiction,4.1,800,Fernwood Publishers,15
Gangai Konda Cholan (Vol.Â 2),Balakumaran,Historical fiction,4.15,750,Silverline Publishers,2
Gangai Konda Cholan (Vol.Â 4),Balakumaran,Historical fiction,4.18,680,Topaz Publishing,20
Meiporul,Balakumaran,Historical fiction,4.05,600,Coimbatore Book House,18
Krishnadevarayar,Balakumaran,Historical fiction,4.12,550,Silverline Publishers,21
Meera,Balakumaran,Historical fiction,4.08,500,Mountain View Publishers,32
Pavai Vilakku,Balakumaran,Historical fiction,4,450,Velvet Ink Press,41
Mannan Magal,Sandilyan,Historical adventure,4.08,580,Sunflower Press,32
Rajamuthirai I,Sandilyan,Historical adventure,4.05,880,Coastal Breeze Publishers,39
Rajamuthirai II,Sandilyan,Historical adventure,4.1,750,Coimbatore Book House,46
Indira Kumari,Sandilyan,Historical adventure,3.9,540,Emerald Literatures,24
Avani Sundari,Sandilyan,Historical adventure,4,520,Jade Books,11
Manimagudam,Sandilyan,Historical adventure,4.02,510,Quartz Books,50
Raja Raja Chozhan,Sandilyan,Historical adventure,4.15,620,Cherry Blossom Books,12
Veerapandiya Kattabomman,Sandilyan,Historical adventure,4,480,Mountain View Publishers,30
Thyaga Bhoomi,Kalki Krishnamurthy,Social novel,4.18,2800,Goldleaf Publishers,41
Kalvanin Kadhali,Kalki Krishnamurthy,Romantic thriller,4.22,2100,Topaz Publishing,31
Mohini Theevu,Kalki Krishnamurthy,Adventure,4.05,900,Mountain View Publishers,5
Solaimalai Ilavarasi,Kalki Krishnamurthy,Historical fiction,4.1,1100,Blue Horizon Publishers,8
Poiman Karadu,Kalki Krishnamurthy,Mystery,4,950,Emerald Isle Publishers,24
Kayalvizhi,Akilan,Historical fiction,4.25,540,Ruby Editions,48
Paavai Vilakku,Akilan,Social novel,4.12,460,Heritage Publishing,50
Vetrithirunagar,Akilan,Historical fiction,4.2,480,Greenfield Publishing,45
Enge Pogirome (Novel),Akilan,Social fiction,4.1,430,Amber Ink Publishers,28
Chinthamani,Akilan,Historical fiction,4.05,400,Coastal Breeze Publishers,12
Karaiyellam Shenbagapoo,Sujatha,Mystery,4.18,2100,BookTown Coimbatore,16
Aah!,Sujatha,Thriller,4,1900,Coimbatore Press,21
April 1 Maadhathil,Sujatha,Romantic comedy,3.95,1700,Emerald Isle Publishers,12
Nirai Kudam,Sujatha,Social novel,3.98,1600,Orchid Publications,22
Kanavu Thozhirchalai,Sujatha,Science fiction,4.05,1500,Orchid Publications,28
Silicon Naatu,Sujatha,Tech fiction,4.02,1450,Indigo Bookworks,43
Payanam,Sujatha,Thriller,4,1200,Cobalt Blue Books,49
Akbar,Sujatha,Historical fiction,3.9,1150,Citrine Press,19
Vatapi Ganapathi,Indra Soundar Rajan,Mystic thriller,4.05,380,Indigo Bookworks,50
Aindhu Vazhi Moondru Vaasal,Indra Soundar Rajan,Mystery,4,360,Pearl Press,35
Thanga Kaadu,Indra Soundar Rajan,Mystic thriller,3.95,350,Sunrise Books,24
Vaanathu Manithargal,Indra Soundar Rajan,Mystic thriller,4.02,340,Magnolia Books,16
Yaarendru Mattum Sollathe,Indra Soundar Rajan,Mystic thriller,3.85,300,Orchid Publications,31
Nattuppura Kathaigal,Ki. Rajanarayanan,Folklore,4.3,600,"Urban Leaf Publications, Coimbatore",13
Mayamaan,Ki. Rajanarayanan,Rural fiction,4.15,550,Eastwood Publications,27
Karisal Kathaikal,Ki. Rajanarayanan,Folklore,4.1,500,Pearl Press,13
Gopallapurathu Sabadham,Ki. Rajanarayanan,Historical fiction,4.05,480,Jade Books,44
Peththa Manja,Ki. Rajanarayanan,Rural fiction,4,450,NorthStar Books,38
Vanmam,Bama,Dalit literature,4.05,350,Diamond Press,36
Kusumbukkaran,Bama,Dalit literature,4,300,Silver Oak Publishing,14
Madhu,Perumal Murugan,Social fiction,4,310,Topaz Publishing,28
Koolamathari,Perumal Murugan,Social fiction,3.95,290,Saffron Reads,33
Seasons of the Palm,Perumal Murugan,Coming-of-age,4.12,380,Fernwood Publishers,20
Current Show,Perumal Murugan,Social fiction,3.9,250,Indigo Bookworks,18
Exile,Charu Nivedita,Experimental,3.88,600,NorthStar Books,12
Morgue Keeper,Charu Nivedita,Experimental,3.85,450,Silver Oak Publishing,11
Imaginary Maps,Charu Nivedita,Experimental,3.8,400,Cherry Blossom Books,47
Oru Kadalora Kiramathin Kathai,Thoppil Mohamed Meeran,Literary fiction,4.25,420,Citrine Press,31
Anju Vannam Theru,Thoppil Mohamed Meeran,Literary fiction,4.18,390,Eastwood Publications,16
Saivu Narkali (New Edition),Thoppil Mohamed Meeran,Literary fiction,4.22,370,Maple Leaf Books,16
Appavin Snegidhar,Sivasankari,Family drama,4.08,410,Sunflower Press,18
Penn Manam,Sivasankari,Social fiction,4.05,390,Emerald Isle Publishers,29
Enathu Suya Sarithai,Sivasankari,Autobiography,4.2,380,Greenfield Publishing,9
Avalukendru Or Manam,Sivasankari,Social fiction,4.12,360,Silver Oak Publishing,23
Nanneer,Sivasankari,Social fiction,4,340,Diamond Press,6
Mayangugiral Oru Maadhu,Ramanichandran,Romance,4,450,Lotus Book Publishers,20
Adivazhai,Ramanichandran,Romance,3.92,440,Silverline Publishers,30
Venmayil Ethanai Nirangal,Ramanichandran,Romance,3.95,430,Lotus Pond Press,45
Neenjodu Nenjam,Ramanichandran,Romance,3.9,420,Mountain View Publishers,42
Thodukodugal,Ramanichandran,Romance,3.88,410,Cherry Blossom Books,1
Kaadu,Jeyamohan,Mythic fiction,4.2,510,Lotus Pond Press,22
Iranyan,Jeyamohan,Mythic fiction,4.15,480,Onyx Publishing,22
Marakai,Jeyamohan,Mythic fiction,4.1,470,"Omni Books, Coimbatore",11
Pani Manithan (New Ed.),Jeyamohan,Mythic fiction,4.12,460,Orchid Publications,27
Kotravai (Revised),Jeyamohan,Mythic fiction,4.05,450,BookTown Coimbatore,24
Sellatha Panam,Imayam,Rural realism,4.05,320,Galaxy Press,27
Arumugam (New Edition),Imayam,Rural fiction,4.1,300,Citrine Press,42
Pethavan (Extended),Imayam,Rural realism,4.12,290,Coral Wave Press,25
Piragu,Poomani,Literary fiction,4.08,310,Sunflower Press,29
Vekkai (English: Heat),Poomani,Literary fiction,4.18,1440,Riverdale Press,33
Agnipravesam,Poomani,Literary fiction,4.06,280,Eastwood Publications,15
Panchali Sabatham,Subramania Bharati,Epic poetry,4.3,2000,Onyx Publishing,10
Bhagavathi Amma,La Sa Ra,Literary fiction,4.1,300,Goldleaf Publishers,28
Karuneer,La Sa Ra,Literary fiction,4.05,250,Teal Publications,31
Ulagam Sutrum Valiban (Novelisation),M. Karunanidhi,Adventure,3.9,200,Crimson Press,26
Parithaabangal,S. Ramakrishnan,Essays,4.12,290,Onyx Publishing,22
Yaamam,S. Ramakrishnan,Short stories,4.1,270,Citrine Press,32
Thedal,S. Ramakrishnan,Travelogue,4.08,260,Teal Publications,25
Kreative Kathaihal,Kalki Krishnamurthy,Short stories,4.18,250,Cherry Blossom Books,30
Sirai,Cho. Dharman,Literary fiction,4.22,280,Coral Wave Press,32
Koogai,Cho. Dharman,Literary fiction,4.15,260,"Global Reads, Coimbatore",11
Sivappu Kazhudha,Cho. Dharman,Literary fiction,4.1,250,Emerald Literatures,18
Kuruthi Aattam,Mugil,Thriller,3.9,230,Citrine Press,27
Hitler,Mugil,Historical thriller,3.85,225,Opal Book House,19
Vaanam Vasapadum,B. Jeyamohan,Social fiction,4.05,240,Heritage Publishing,49
Bhuvana Oru Kelvi Kuri,Sujatha,Drama,4,500,Citrine Press,27
Ragasiyam 117,Sujatha,Mystery,4.05,450,Magnolia Books,23
En Peyar Kamala,Rajesh Kumar,Crime thriller,3.95,400,Ruby Editions,40
Oru Thuli Kadal,Rajesh Kumar,Crime thriller,3.92,380,Mountain View Publishers,16
Nenjathai Killadhe,Muthulakshmi Raghavan,Romance,3.9,350,Sunflower Press,20
Krishnap Parunthu,A. Madhavan,Literary fiction,4.11,160,Coimbatore Book House,8
Sayavanam,Sa. Kandasamy,Literary fiction,4.02,178,Heritage Publishing,50
Suul,Cho Dharman,Literary fiction,4.03,100,Star Light Publishing,6
Thoorvai,Cho Dharman,Literary fiction,4.22,23,Cobalt Blue Books,35
Maraikkappatta India,S. Ramakrishnan,Essays/Non?fiction,4.16,285,Jade Books,12
Uba Pandavam,S. Ramakrishnan,Literary fiction,4.09,256,Indigo Bookworks,31
Nedum Kuruthi,S. Ramakrishnan,Literary fiction,3.98,100,Citrine Press,35
Yamam,S. Ramakrishnan,Literary fiction,3.95,285,Marigold Press,14
Kelvikuri,S. Ramakrishnan,Literary fiction,4.11,113,Teal Publications,18
Pani Manithan,Jeyamohan,Mythic fiction,4.12,100,NorthStar Books,11
Karaintha Nizhalkal,Ashokamitran,Literary fiction,4.12,471,Saffron Reads,14
"Krishna Devaraya (I, Krishnadevaraya)",Balakumaran,Historical fiction,4.15,200,Diamond Press,34
Rajarajan Sabatham,Sandilyan,Historical adventure,4.1,250,Amber Ink Publishers,50
Kurinji Malar,Na. Parthasarathy,Historical romance,4.1,600,Eastwood Publications,9
Punalum Manalum,A. Madhavan,Literary fiction,4,40,Heritage Publishing,27
Thoovaanam,A. Madhavan,Literary fiction,4,30,Fernwood Publishers,28
Visaranai Commission,Sa. Kandasamy,Political fiction,3.4,35,"Omni Books, Coimbatore",40
Thirayil Irangum Vimanangal,Indhumathi,Social fiction,4.07,123,Riverdale Press,10
Rudra Veena,Indra Soundar Rajan,Mystic thriller,4.05,120,Eastwood Publications,22
Chidambara Ragasiyam,Indra Soundar Rajan,Mystic thriller,4.1,300,Emerald Isle Publishers,31
Kaattil Oru Maan,Thi. Janakiraman,Literary fiction,4.18,300,Teal Publications,44
Uyir Ezhuthu,Thi. Janakiraman,Literary fiction,4.15,280,Coral Wave Press,31
Oru Nadigai Natakam Parkiral,Jayakanthan,Literary fiction,4.18,408,Teal Publications,38
Yaarukkaga Azhudhan,Jayakanthan,Literary fiction,4.15,80,Coimbatore Press,9
Saanthik Kaalam,Jayakanthan,Literary fiction,4.2,100,Eastwood Publications,14
Nandhipurathu Nayagi,Vikiraman,Historical fiction,4.3,300,Maple Leaf Books,23
Koogai (English: The Owl),Cho Dharman,Literary fiction,4.2,118,Emerald Literatures,10
Tholainthu Ponavargal,Sa. Kandasamy,Literary fiction,3.95,40,Ruby Editions,19
Panpattu Asaivugal,Tho. Paramasivan,Cultural essays,4.44,195,Blue Horizon Publishers,8
Desanthiri,S. Ramakrishnan,Travel narrative,4.32,939,Eastwood Publications,40
Vandiyathevan Vaala,Vikiraman,Historical fiction,3.62,245,Greenfield Publishing,3
Sirikum Vagupparai,S. Ramakrishnan,Essays,4.06,18,Mountain View Publishers,9
Thirakkatha Kadhavugal,Rajesh Kumar,Crime thriller,4.3,200,Coral Wave Press,17
Ularatha Ratham,Rajesh Kumar,Crime thriller,4.7,50,"Omni Books, Coimbatore",36
Thanjamadainthapin Kaividalamo,Ramanichandran,Romance,4,150,Cherry Blossom Books,42
Vasanthamalli,Ramanichandran,Romance,4,140,Maple Leaf Books,8
Rudraveenai,Indra Soundar Rajan,Mystic thriller,4.26,585,Sunflower Press,23
Cheran Selvi,Sandilyan,Historical adventure,3.76,153,Emerald Literatures,10
Mohana Silai,Sandilyan,Historical adventure,3.77,118,Fernwood Publishers,39
Raja Perigai,Sandilyan,Historical adventure,3.77,129,Coral Wave Press,45
Vijaya Mahadevi,Sandilyan,Historical adventure,3.8,122,Topaz Publishing,20
Jala Mohini,Sandilyan,Historical adventure,3.79,103,Maple Leaf Books,11
Zero Degree,Charu Nivedita,Experimental fiction,3.52,547,"Omni Books, Coimbatore",3
Kudal Veeran,Vikiraman,Historical fiction,3.8,200,Eastwood Publications,27
Chola Ilavarasan Kanavu,Vikiraman,Historical fiction,3.85,150,Coastal Breeze Publishers,8
Thavasi,Bharathidasan,Classical poetry,4.2,300,Blue Horizon Publishers,38
Navagraha Nayagi,Indra Soundar Rajan,Mystic thriller,3.9,120,Saffron Reads,34
The Aayakudi Murders,Indra Soundar Rajan,Mystery,3.96,180,"Global Reads, Coimbatore",44
Maragatha Lingam,Indra Soundar Rajan,Mystic thriller,3.83,221,Coral Wave Press,3
Ragasiyamaaga Oru Ragasiyam,Indra Soundar Rajan,Mystic thriller,4.26,189,Quartz Books,26
Thunai Ezhuthu,S. Ramakrishnan,Essays,4.32,941,CBE Publishers,35
Sancharam,S. Ramakrishnan,Literary fiction,4.1,700,Indigo Bookworks,13
Idakkai,S. Ramakrishnan,Literary fiction,4,550,Fernwood Publishers,36
Katha Vilasam,S. Ramakrishnan,Short stories,4.05,320,Fernwood Publishers,23
Mozhigal,S. Ramakrishnan,Essays,4.02,300,Teal Publications,23
Ottran,Ashokamitran,Literary fiction,4.05,600,Riverbank Books,18
Manasarovar,Jeyamohan,Literary fiction,4.2,750,Ruby Editions,44
Aram,Jeyamohan,Philosophical fiction,4.42,1948,Lotus Pond Press,2
Eazham Ulagam,Jeyamohan,Literary fiction,4.18,600,Marigold Press,45
Rubber,Jeyamohan,Literary fiction,4,450,Pearl Press,9
Pin Thodarum Nizhalin Kural,Jeyamohan,Literary fiction,4.05,380,Sunflower Press,8
Inru,Jayakanthan,Literary fiction,4,500,Cherry Blossom Books,16
Kaitthari,Jayakanthan,Literary fiction,4.06,350,Topaz Publishing,34
Karuppu Kuthirai,Indira Parthasarathy,Social fiction,3.95,400,Coral Wave Press,37
Thirakkadha Kadhavugal,Rajesh Kumar,Crime thriller,4.27,144,Silver Oak Publishing,16
Aetho Nadakirathu,Rajesh Kumar,Crime thriller,3.92,1034,Crimson Press,44
Oosi Munayil Usha,Rajesh Kumar,Crime thriller,4.05,914,Crimson Press,24
Kiliyugam,Rajesh Kumar,Crime thriller,4.06,522,Greenfield Publishing,23
Angae...Ingae...Engae?,Rajesh Kumar,Crime thriller,4.49,240,Star Light Publishing,48
Poruththathu Pothum Vivek,Rajesh Kumar,Crime thriller,4.37,467,Onyx Publishing,1
Indhuja 2000,Rajesh Kumar,Crime thriller,3.94,490,Onyx Publishing,16
Yuttha Saththam,Rajesh Kumar,Crime thriller,4.28,436,CBE Publishers,5
Aiyndhu Gram Aabaththu,Rajesh Kumar,Crime thriller,3.73,706,Coimbatore Book House,19
Theepiditha Thendral,Rajesh Kumar,Crime thriller,4.41,1064,Amber Ink Publishers,34
Netru Pol Indrum Illai,Rajesh Kumar,Crime thriller,4.49,845,"Urban Leaf Publications, Coimbatore",11
Vaira Malar,Ramanichandran,Romance,3.88,650,Coimbatore Press,44
Veedu Vandha Vennilavu,Ramanichandran,Romance,3.98,1400,Orchid Publications,27
Poongaatru Thirumbuma,Ramanichandran,Romance,4.32,1088,Fernwood Publishers,27
Vennira Idhayam,Ramanichandran,Romance,3.83,772,Pearl Press,26
Nee Varuvai Ena,Ramanichandran,Romance,4.48,687,Jade Books,33
En Iniya Thendral,Ramanichandran,Romance,4.32,237,Heritage Publishing,41
Vizhiyin Aran,Ramanichandran,Romance,4.38,114,Greenfield Publishing,18
Vandhiyathevan Vaal,Vikiraman,Historical fiction,3.61,778,Silver Oak Publishing,46
Paranthakan Magal,Vikiraman,Historical fiction,3.67,671,Sunrise Books,45
Ponnar Shankar,Vikiraman,Historical fiction,3.92,549,Marigold Press,32
Kanchi Sundari,Vikiraman,Historical fiction,3.66,203,Teal Publications,3
Vandhiyathevan Kaakkai,Vikiraman,Historical fiction,3.67,409,Fernwood Publishers,38
Pavai Vilakku Balakumaran,Balakumaran,Historical fiction,4.34,662,Citrine Press,22
Thannikkudam,Ki. Rajanarayanan,Folklore,4.02,380,Onyx Publishing,8
Karisal Kathai,Ki. Rajanarayanan,Folklore,4.15,301,Teal Publications,48
Nalumani Pookkal,Ki. Rajanarayanan,Folklore,4.08,230,Riverbank Books,29
Moondravathu Kan,Indra Soundar Rajan,Mystic thriller,4.26,264,Coastal Breeze Publishers,1
Maanikka Naagam,Indra Soundar Rajan,Mystic thriller,4.1,135,Topaz Publishing,18
Krishnadaasi,Indra Soundar Rajan,Mystic thriller,3.9,268,Greenfield Publishing,41
Mudhal Sakthi,Indra Soundar Rajan,Mystic thriller,3.87,333,Quartz Books,49
Vatapi Ganapathi 2,Indra Soundar Rajan,Mystic thriller,4.22,264,Silver Oak Publishing,45
Sool,Perumal Murugan,Social fiction,3.88,210,Cobalt Blue Books,29
Kanni Maadam,Sivasankari,Social fiction,4.25,2500,Cobalt Blue Books,11
Rishimoolam,Jayakanthan,Literary fiction,4.05,290,Lotus Pond Press,35
Putham Veedu,Hephzibah Jesudasan,Literary Fiction,4.12,1701,CBE Publishers,21
Vandhargal Vendrargal,Madhan,Historical Narrative,4.03,1292,Fernwood Publishers,30
Pasitha Manudam,Karichan Kunju,Literary Fiction,4.15,1143,Coimbatore Press,50
Gorilla,Shobasakthi,Political Fiction,4.44,2193,Magnolia Books,44
M,Shobasakthi,Political Fiction,3.98,2368,Sunflower Press,16
Traitor,Shobasakthi,Political Fiction,3.98,1464,Goldleaf Publishers,7
Gopalla Gramam,Ki. Rajanarayanan,Historical Fiction,4.01,1572,Teal Publications,13
Ventru Pol Indrum Illai,Rajesh Kumar,Crime Thriller,3.92,817,Sunflower Press,46
Appusami,Bhagyam Ramasamy,Humor,3.82,2082,Galaxy Press,44
Siragugal Muriyum,Ambai,Feminist Fiction,4.4,1219,Mountain View Publishers,8
Thuppariyum Sambu,Devan,Detective Fiction,3.8,1979,Lotus Book Publishers,23
Niramatra Vanavil,Sujatha,Thriller,3.94,2476,Cobalt Blue Books,47
Sorga Theevu,Sujatha,Science Fiction,3.83,2323,Goldleaf Publishers,34
Prathapa Mudaliar Charithram,Samuel Vedanayagam Pillai,Classic Fiction,4.32,220,Silverline Publishers,12
Aazhi Soozh Ulagu,Joe D Cruz,Maritime Fiction,4.07,731,Eastwood Publications,43
Korkai,Joe D Cruz,Maritime Fiction,3.95,1524,Galaxy Press,50
Mayavaram Mysteries,Indra Soundar Rajan,Mystery,4.04,1180,Coimbatore Book House,30
Vaa Vennila,Subha,Crime Thriller,4.13,2161,Coral Wave Press,8
Thudikkum Ithayam,Subha,Crime Thriller,4.41,882,Quartz Books,29
Sirikkum Penne,Subha,Crime Thriller,3.9,1859,CBE Publishers,41
Vettai Maan,Subha,Crime Thriller,4.09,770,Lotus Book Publishers,23
Vetri Pathai,Subha,Crime Thriller,4.47,2274,Marigold Press,21
Manipallavam,Na. Parthasarathy,Historical Fiction,4.35,1759,Marigold Press,16
Pon Vilangu,Na. Parthasarathy,Social Fiction,4.29,2271,Sunrise Books,1
Rani Mangammaal,Na. Parthasarathy,Historical Fiction,4.33,304,Maple Leaf Books,31
Samudhaya Veedhi,Na. Parthasarathy,Social Fiction,4.31,787,Cobalt Blue Books,49
Vanji Managaram,Na. Parthasarathy,Historical Fiction,4.38,684,Marigold Press,40
Vetri Muzhakkam,Na. Parthasarathy,Historical Fiction,4.43,593,Cherry Blossom Books,33
Athmavin Ragangal,Na. Parthasarathy,Social Fiction,4.47,1268,Quartz Books,37
Nithilavalli,Na. Parthasarathy,Historical Fiction,4.35,702,Goldleaf Publishers,43
Thulasi Maadam,Na. Parthasarathy,Social Fiction,4.09,740,Velvet Ink Press,24
Kai Veesamma Kai Veesu,Balakumaran,Historical Fiction,4.05,886,Amber Ink Publishers,45
Pei Karumbu,Balakumaran,Historical Fiction,3.94,1474,Diamond Press,24
Agalya,Balakumaran,Historical Fiction,4,781,Star Light Publishing,28
Irumbu Kudhiraigal,Balakumaran,Historical Fiction,3.92,1761,Mountain View Publishers,37
Shenbagathottam,Balakumaran,Historical Fiction,3.84,1784,Maple Leaf Books,43
Pani Vizhum Malar Vanam,Balakumaran,Historical Fiction,3.86,1662,Emerald Literatures,26
Mercury Pookkal,Balakumaran,Literary Fiction,3.96,1580,Cherry Blossom Books,38
Endrendrum Anbudan,Balakumaran,Literary Fiction,3.9,1737,Greenfield Publishing,12
Venmurasu (Vol. 1 Mudharkanal),Jeyamohan,Epic Mythic,3.94,665,Crimson Press,10
47 Naatkal,Sivasankari,Social Fiction,4.09,282,Orchid Publications,47
Naagini,Indra Soundar Rajan,Mystic Thriller,4,1329,Pearl Press,44
